Charge Year,Month Name,Month Date,Customer Class,Consumption
2015,March,Mar 2015,Commercial,740863
2015,March,Mar 2015,Residential,869554
2015,April,Apr 2015,Residential,1036134
2015,April,Apr 2015,Commercial,804404
2015,April,Apr 2015,Other,124242
2015,April,Apr 2015,Interdepartmental,34144
2015,May,May 2015,Commercial,879523
2015,May,May 2015,Residential,1110410
2015,May,May 2015,Interdepartmental,73410
2015,May,May 2015,Other,180058
2015,June,Jun 2015,Other,183173
2015,June,Jun 2015,Interdepartmental,115752
2015,June,Jun 2015,Commercial,960822
2015,June,Jun 2015,Residential,1223825
2015,July,Jul 2015,Residential,1424556
2015,July,Jul 2015,Commercial,1090879
2015,July,Jul 2015,Other,246986
2015,July,Jul 2015,Interdepartmental,194164
2015,August,Aug 2015,Residential,1387001
2015,August,Aug 2015,Commercial,1137055
2015,August,Aug 2015,Interdepartmental,221193
2015,August,Aug 2015,Other,214310
2015,September,Sep 2015,Interdepartmental,176135
2015,September,Sep 2015,Other,228908
2015,September,Sep 2015,Commercial,1078662
2015,September,Sep 2015,Residential,1312176
2015,October,Oct 2015,Interdepartmental,94861
2015,October,Oct 2015,Other,164337
2015,October,Oct 2015,Commercial,955469
2015,October,Oct 2015,Residential,1156635
2015,November,Nov 2015,Residential,1074497
2015,November,Nov 2015,Commercial,923065
2015,November,Nov 2015,Interdepartmental,40159
2015,November,Nov 2015,Other,167725
2015,December,Dec 2015,Residential,973054
2015,December,Dec 2015,Commercial,847016
2015,December,Dec 2015,Interdepartmental,26989
2015,December,Dec 2015,Other,103746
2016,January,Jan 2016,Other,76069
2016,January,Jan 2016,Interdepartmental,19757
2016,January,Jan 2016,Commercial,701519
2016,January,Jan 2016,Residential,822877
2016,February,Feb 2016,Interdepartmental,18517
2016,February,Feb 2016,Other,79595
2016,February,Feb 2016,Commercial,706493
2016,February,Feb 2016,Residential,853807
