Month Date,Month,Year,Amount Type,Amount,Customer Type,Customer Count
09/01/2019,Sep,2019,Commercial Therms,881578,Commercial Count,2301
09/01/2019,Sep,2019,Interdepartmental Therms,16464,Interdepartmental Count,114
09/01/2019,Sep,2019,Other Public Authority Therms,187248,Other Public Authority Count,113
09/01/2019,Sep,2019,Residential Therms,500600,Residential Count,63416
10/01/2019,Oct,2019,Commercial Therms,939006,Commercial Count,2289
10/01/2019,Oct,2019,Interdepartmental Therms,14141,Interdepartmental Count,114
10/01/2019,Oct,2019,Other Public Authority Therms,214410,Other Public Authority Count,113
10/01/2019,Oct,2019,Residential Therms,612346,Residential Count,63719
11/01/2019,Nov,2019,Commercial Therms,1105470,Commercial Count,2296
11/01/2019,Nov,2019,Interdepartmental Therms,17770,Interdepartmental Count,114
11/01/2019,Nov,2019,Other Public Authority Therms,247941,Other Public Authority Count,113
11/01/2019,Nov,2019,Residential Therms,899652,Residential Count,64157
12/01/2019,Dec,2019,Commercial Therms,1355605,Commercial Count,2311
12/01/2019,Dec,2019,Interdepartmental Therms,28823,Interdepartmental Count,114
12/01/2019,Dec,2019,Other Public Authority Therms,284905,Other Public Authority Count,113
12/01/2019,Dec,2019,Residential Therms,1720693,Residential Count,64745
01/01/2020,Jan,2020,Commercial Therms,1650091,Commercial Count,2305
01/01/2020,Jan,2020,Interdepartmental Therms,55158,Interdepartmental Count,114
01/01/2020,Jan,2020,Other Public Authority Therms,358292,Other Public Authority Count,113
01/01/2020,Jan,2020,Residential Therms,3342271,Residential Count,64928
02/01/2020,Feb,2020,Commercial Therms,1667000,Commercial Count,2332
02/01/2020,Feb,2020,Interdepartmental Therms,52604,Interdepartmental Count,114
02/01/2020,Feb,2020,Other Public Authority Therms,339420,Other Public Authority Count,113
02/01/2020,Feb,2020,Residential Therms,2936357,Residential Count,65572
03/01/2020,Mar,2020,Commercial Therms,1614471,Commercial Count,2321
03/01/2020,Mar,2020,Interdepartmental Therms,52884,Interdepartmental Count,114
03/01/2020,Mar,2020,Other Public Authority Therms,323244,Other Public Authority Count,118
03/01/2020,Mar,2020,Residential Therms,2105679,Residential Count,65988
04/01/2020,Apr,2020,Commercial Therms,1147512,Commercial Count,2303
04/01/2020,Apr,2020,Interdepartmental Therms,30638,Interdepartmental Count,110
04/01/2020,Apr,2020,Other Public Authority Therms,229346,Other Public Authority Count,113
04/01/2020,Apr,2020,Residential Therms,1416712,Residential Count,65377
05/01/2020,May,2020,Commercial Therms,888397,Commercial Count,2301
05/01/2020,May,2020,Interdepartmental Therms,22499,Interdepartmental Count,110
05/01/2020,May,2020,Other Public Authority Therms,176320,Other Public Authority Count,112
05/01/2020,May,2020,Residential Therms,960133,Residential Count,65734
06/01/2020,Jun,2020,Commercial Therms,892316,Commercial Count,2335
06/01/2020,Jun,2020,Interdepartmental Therms,15572,Interdepartmental Count,110
06/01/2020,Jun,2020,Other Public Authority Therms,179429,Other Public Authority Count,112
06/01/2020,Jun,2020,Residential Therms,763093,Residential Count,66061
07/01/2020,Jul,2020,Commercial Therms,913905,Commercial Count,2306
07/01/2020,Jul,2020,Interdepartmental Therms,16718,Interdepartmental Count,110
07/01/2020,Jul,2020,Other Public Authority Therms,168871,Other Public Authority Count,112
07/01/2020,Jul,2020,Residential Therms,635768,Residential Count,65800
08/01/2020,Aug,2020,Commercial Therms,880524,Commercial Count,2295
08/01/2020,Aug,2020,Interdepartmental Therms,12744,Interdepartmental Count,110
08/01/2020,Aug,2020,Other Public Authority Therms,172453,Other Public Authority Count,112
08/01/2020,Aug,2020,Residential Therms,539150,Residential Count,66040
09/01/2020,Sep,2020,Commercial Therms,839371,Commercial Count,2298
09/01/2020,Sep,2020,Interdepartmental Therms,12759,Interdepartmental Count,110
09/01/2020,Sep,2020,Other Public Authority Therms,195753,Other Public Authority Count,112
09/01/2020,Sep,2020,Residential Therms,557765,Residential Count,66149
10/01/2020,Oct,2020,Commercial Therms,937187,Commercial Count,2314
10/01/2020,Oct,2020,Interdepartmental Therms,12978,Interdepartmental Count,110
10/01/2020,Oct,2020,Other Public Authority Therms,206596,Other Public Authority Count,113
10/01/2020,Oct,2020,Residential Therms,655808,Residential Count,66525
11/01/2020,Nov,2020,Commercial Therms,1062677,Commercial Count,2309
11/01/2020,Nov,2020,Interdepartmental Therms,14852,Interdepartmental Count,110
11/01/2020,Nov,2020,Other Public Authority Therms,214927,Other Public Authority Count,113
11/01/2020,Nov,2020,Residential Therms,956693,Residential Count,66873
12/01/2020,Dec,2020,Commercial Therms,1309752,Commercial Count,2321
12/01/2020,Dec,2020,Interdepartmental Therms,28400,Interdepartmental Count,112
12/01/2020,Dec,2020,Other Public Authority Therms,263375,Other Public Authority Count,113
12/01/2020,Dec,2020,Residential Therms,1907524,Residential Count,67160
01/01/2021,Jan,2021,Commercial Therms,1607322,Commercial Count,2329
01/01/2021,Jan,2021,Interdepartmental Therms,51933,Interdepartmental Count,115
01/01/2021,Jan,2021,Other Public Authority Therms,349552,Other Public Authority Count,113
01/01/2021,Jan,2021,Residential Therms,3152898,Residential Count,67157
02/01/2021,Feb,2021,Commercial Therms,1647008,Commercial Count,2320
02/01/2021,Feb,2021,Interdepartmental Therms,47822,Interdepartmental Count,114
02/01/2021,Feb,2021,Other Public Authority Therms,340550,Other Public Authority Count,113
02/01/2021,Feb,2021,Residential Therms,2757244,Residential Count,67335
03/01/2021,Mar,2021,Commercial Therms,1530360,Commercial Count,2341
03/01/2021,Mar,2021,Interdepartmental Therms,38925,Interdepartmental Count,114
03/01/2021,Mar,2021,Other Public Authority Therms,281563,Other Public Authority Count,115
03/01/2021,Mar,2021,Residential Therms,2133103,Residential Count,67813
04/01/2021,Apr,2021,Commercial Therms,1324798,Commercial Count,2341
04/01/2021,Apr,2021,Interdepartmental Therms,32542,Interdepartmental Count,114
04/01/2021,Apr,2021,Other Public Authority Therms,248906,Other Public Authority Count,114
04/01/2021,Apr,2021,Residential Therms,1458999,Residential Count,67596
05/01/2021,May,2021,Commercial Therms,1159323,Commercial Count,2329
05/01/2021,May,2021,Interdepartmental Therms,19567,Interdepartmental Count,114
05/01/2021,May,2021,Other Public Authority Therms,204626,Other Public Authority Count,114
05/01/2021,May,2021,Residential Therms,999954,Residential Count,67610
06/01/2021,Jun,2021,Commercial Therms,1064983,Commercial Count,2329
06/01/2021,Jun,2021,Interdepartmental Therms,17285,Interdepartmental Count,114
06/01/2021,Jun,2021,Other Public Authority Therms,214093,Other Public Authority Count,114
06/01/2021,Jun,2021,Residential Therms,807216,Residential Count,67718
07/01/2021,Jul,2021,Commercial Therms,934571,Commercial Count,2328
07/01/2021,Jul,2021,Interdepartmental Therms,14354,Interdepartmental Count,114
07/01/2021,Jul,2021,Other Public Authority Therms,185398,Other Public Authority Count,114
07/01/2021,Jul,2021,Residential Therms,604001,Residential Count,67374
08/01/2021,Aug,2021,Commercial Therms,926350,Commercial Count,2343
08/01/2021,Aug,2021,Interdepartmental Therms,15397,Interdepartmental Count,114
08/01/2021,Aug,2021,Other Public Authority Therms,192457,Other Public Authority Count,116
08/01/2021,Aug,2021,Residential Therms,568393,Residential Count,67536
09/01/2021,Sep,2021,Commercial Therms,944911,Commercial Count,2322
09/01/2021,Sep,2021,Interdepartmental Therms,14519,Interdepartmental Count,114
09/01/2021,Sep,2021,Other Public Authority Therms,187183,Other Public Authority Count,116
09/01/2021,Sep,2021,Residential Therms,583239,Residential Count,67704
10/01/2021,Oct,2021,Commercial Therms,995262,Commercial Count,2344
10/01/2021,Oct,2021,Interdepartmental Therms,11551,Interdepartmental Count,114
10/01/2021,Oct,2021,Other Public Authority Therms,206476,Other Public Authority Count,116
10/01/2021,Oct,2021,Residential Therms,684976,Residential Count,68140
11/01/2021,Nov,2021,Commercial Therms,1100430,Commercial Count,2293
11/01/2021,Nov,2021,Interdepartmental Therms,15469,Interdepartmental Count,113
11/01/2021,Nov,2021,Other Public Authority Therms,233514,Other Public Authority Count,116
11/01/2021,Nov,2021,Residential Therms,945362,Residential Count,67299
12/01/2021,Dec,2021,Commercial Therms,1361773,Commercial Count,2395
12/01/2021,Dec,2021,Interdepartmental Therms,21708,Interdepartmental Count,115
12/01/2021,Dec,2021,Other Public Authority Therms,253412,Other Public Authority Count,117
12/01/2021,Dec,2021,Residential Therms,1490895,Residential Count,69841
