Date,Site_int,Month_int,SolarProductionDemand,Solar Production,TotalEnergyUsageAcrossSites
2018-04-01,2,0,29.6,927.0,8201.0
2018-04-01,3,0,34.6,0.0,13482.0
2018-04-01,4,0,79.2,45047.0,34921.0
2018-04-01,5,0,216.0,50216.0,92791.0
2018-04-01,6,0,51.5,24026.0,24526.0
2018-04-01,7,0,268.3,7736.0,22474.0
2018-05-01,0,8,437.4,66631.0,197614.0
2018-05-01,1,8,73.0,34277.0,30641.0
2018-05-01,2,8,39.5,996.0,11953.0
2018-05-01,3,8,44.7,0.0,17703.0
2018-05-01,4,8,86.3,51496.0,44233.0
2018-05-01,5,8,210.0,53654.0,94129.0
2018-05-01,6,8,65.1,30847.0,31823.0
2018-05-01,7,8,268.3,8467.0,17537.0
2018-06-01,0,6,474.0,61835.0,241664.0
2018-06-01,1,6,70.5,35865.0,34141.0
2018-06-01,2,6,34.4,907.0,13028.0
2018-06-01,3,6,43.6,0.0,18844.0
2018-06-01,4,6,103.7,50048.0,53857.0
2018-06-01,5,6,221.8,52693.0,106526.0
2018-06-01,6,6,66.6,29897.0,32182.0
2018-06-01,7,6,265.2,4923.0,6484.0
2018-07-01,0,5,505.0,59033.0,272954.0
2018-07-01,1,5,78.3,34605.0,41555.0
2018-07-01,2,5,48.4,430.0,18234.0
2018-07-01,3,5,50.0,0.0,23304.0
2018-07-01,4,5,114.3,45013.0,55976.0
2018-07-01,5,5,230.4,50702.0,134772.0
2018-07-01,6,5,73.5,29469.0,39372.0
2018-07-01,7,5,253.0,2884.0,5714.0
2018-08-01,0,1,494.0,55848.0,278782.0
2018-08-01,1,1,85.1,31215.0,43554.0
2018-08-01,2,1,50.4,885.0,22056.0
2018-08-01,3,1,48.8,0.0,23579.0
2018-08-01,4,1,106.8,44764.0,54813.0
2018-08-01,5,1,232.3,48359.0,134721.0
2018-08-01,6,1,81.0,28237.0,45288.0
2018-08-01,7,1,256.9,2516.0,18675.0
2018-09-01,0,11,488.5,50335.0,260688.0
2018-09-01,1,11,74.9,29957.0,40974.0
2018-09-01,2,11,45.1,842.0,18110.0
2018-09-01,3,11,44.5,0.0,20723.0
2018-09-01,4,11,100.9,42030.0,51639.0
2018-09-01,5,11,227.0,43593.0,126024.0
2018-09-01,6,11,74.5,25708.0,41285.0
2018-09-01,7,11,252.0,2799.0,19912.0
2018-09-01,8,11,44.0,1182.0,13907.0
2018-10-01,0,10,423.0,35903.0,191720.0
2018-10-01,1,10,72.6,24390.0,35817.0
2018-10-01,2,10,40.8,782.0,13324.0
2018-10-01,3,10,36.8,0.0,14093.0
2018-10-01,4,10,69.8,32836.0,31813.0
2018-10-01,5,10,239.5,30040.0,92430.0
2018-10-01,6,10,72.6,21817.0,39141.0
2018-10-01,7,10,253.6,2070.0,23779.0
2018-10-01,8,10,28.2,2756.0,9378.0
2018-11-01,0,9,419.0,32855.0,170797.0
2018-11-01,1,9,61.2,22717.0,28322.0
2018-11-01,2,9,29.3,741.0,9374.0
2018-11-01,3,9,30.4,0.0,12338.0
2018-11-01,4,9,60.6,31645.0,27400.0
2018-11-01,5,9,171.4,29491.0,83811.0
2018-11-01,6,9,56.4,17775.0,29014.0
2018-11-01,7,9,251.0,2500.0,20826.0
2018-11-01,8,9,25.4,2362.0,6760.0
2018-12-01,0,2,385.0,24538.0,187894.0
2018-12-01,1,2,58.8,17070.0,29218.0
2018-12-01,2,2,24.7,590.0,8942.0
2018-12-01,3,2,22.2,0.0,10113.0
2018-12-01,4,2,60.2,24011.0,26483.0
2018-12-01,5,2,137.3,19916.0,67693.0
2018-12-01,6,2,51.5,14494.0,26286.0
2018-12-01,7,2,261.8,1723.0,14493.0
2018-12-01,8,2,23.5,2042.0,5839.0
