Row ID,Site,Year,Month,Month Date,Usage Charges,kW,Solar Production,Total Building Energy Use kWh,Time of Use Plan Flag,On Peak kWh,Shoulder Peak kWh,Off Peak kWh,Total Net Billable,Solar Savings,SRP charges Without Solar,Owner
181,PD Fiesta Substn,2015,May,05/01/2015,2721.54,98,51272,51272,false,,,,,2126.7905668,4848.3305668,Tesla
182,RM Multigen,2015,May,05/01/2015,8880.87,288,52120,38680,false,,,,,-3358.9758305,5521.8941695,Tesla
183,RM PD,2015,May,05/01/2015,3677.41,74,25135,38599,false,,,,,-15.8529831499991,3661.55701685,Tesla
184,Solfocus,2015,May,05/01/2015,1250.83,260,9425,22551,false,,,,,2455.6964544,3706.5264544,City
185,EMSC and RM Library,2015,June,06/01/2015,35145.22,596,69428,265379,true,51618,81796,131964,265378,-10230.75137735,24914.46862265,Tesla
186,Fire Stn 212 PD,2015,June,06/01/2015,3257.04,80,34368,37870,false,,,,,455.7103505,3712.7503505,Tesla
187,Fire Stn 219,2015,June,06/01/2015,1693.75,43,979,16277,false,,,,,59.91133255,1753.66133255,City
188,Fire Stn 220,2015,June,06/01/2015,2108.66,44,2500,24017,false,,,,,148.75420355,2257.41420355,City
189,PD Fiesta Substn,2015,June,06/01/2015,3123.82,119,43043,45047,false,,,,,1672.28189805,4796.10189805,Tesla
190,RM Multigen,2015,June,06/01/2015,11385.73,271,55639,63457,false,,,,,-3627.60266845,7758.12733155,Tesla
191,RM PD,2015,June,06/01/2015,3898.32,81,27897,40329,false,,,,,-14.4836036499996,3883.83639635,Tesla
192,Solfocus,2015,June,06/01/2015,-336.21,256,10733,8903,false,,,,,2609.1740032,2272.9640032,City
193,EMSC and RM Library,2015,July,07/01/2015,35030.13,608,61530,341639,true,45541,70075,164493,280109,2769.66654774998,37799.79654775,Tesla
194,Fire Stn 212 PD,2015,July,07/01/2015,4851.32,92,35386,48819,false,,,,,576.824262850001,5428.14426285,Tesla
195,Fire Stn 219,2015,July,07/01/2015,2426.74,48,890,20638,false,,,,,60.3326416999998,2487.0726417,City
196,Fire Stn 220,2015,July,07/01/2015,2664.56,16,2332,25762,false,,,,,-425.793605699999,2238.7663943,City
197,PD Fiesta Substn,2015,July,07/01/2015,5023.31,113,44914,59634,false,,,,,1614.0677341,6637.3777341,Tesla
198,RM Multigen,2015,July,07/01/2015,13225,276,50023,69272,false,,,,,-3265.2544044,9959.7455956,Tesla
199,RM PD,2015,July,07/01/2015,5607.17,95,29763,50094,false,,,,,-26.2035988999996,5580.9664011,Tesla
200,Solfocus,2015,July,07/01/2015,954.62,258,6368,4771,false,,,,,1612.3093713,2566.9293713,City
201,EMSC and RM Library,2015,August,08/01/2015,25467.21,624,58358,342684,true,45355,65837,173044,284236,11919.8505667,37387.0605667,Tesla
202,Fire Stn 212 PD,2015,August,08/01/2015,4981.09,89,32070,48847,false,,,,,390.39111405,5371.48111405,Tesla
203,Fire Stn 219,2015,August,08/01/2015,2560.03,47,487,21781,false,,,,,-8.18257184999993,2551.84742815,City
204,Fire Stn 220,2015,August,08/01/2015,2465.04,45,2109,23134,false,,,,,147.5033271,2612.5433271,City
205,PD Fiesta Substn,2015,August,08/01/2015,5202.69,115,45954,61185,false,,,,,1588.30166275,6790.99166275,Tesla
206,RM Multigen,2015,August,08/01/2015,14101.63,264,47707,80918,false,,,,,-3131.4109611,10970.2190389,Tesla
207,RM PD,2015,August,08/01/2015,5462.8,86,28096,50529,false,,,,,-25.9198946500001,5436.88010535,Tesla
208,Solfocus,2015,August,08/01/2015,2863.63,269,6118,24488,false,,,,,2123.2230439,4986.8530439,City
209,EMSC and RM Library,2015,September,09/01/2015,23963.96,624,47369,302776,true,52669,77151,125586,255406,5874.2514984,29838.2114984,Tesla
210,Fire Stn 212 PD,2015,September,09/01/2015,4260.83,90,28391,45197,false,,,,,75.3300605499999,4336.16006055,Tesla
211,Fire Stn 219,2015,September,09/01/2015,1868.61,44,0,17777,false,,,,,-4.27305245000002,1864.33694755,City
212,Fire Stn 220,2015,September,09/01/2015,1835.41,39,1845,20285,false,,,,,105.98431775,1941.39431775,City
213,PD Fiesta Substn,2015,September,09/01/2015,3748.75,92,38051,49831,false,,,,,911.692097650001,4660.44209765,Tesla
214,RM Multigen,2015,September,09/01/2015,11923.91,304,38609,79415,false,,,,,-2509.85439775,9414.05560225,Tesla
215,RM PD,2015,September,09/01/2015,4650.52,91,25482,49585,false,,,,,-21.7601072499992,4628.75989275,Tesla
216,Solfocus,2015,September,09/01/2015,2255.1,267,5890,23326,false,,,,,1568.1042469,3823.2042469,City
217,EMSC and RM Library,2015,October,10/01/2015,14237.76,624,38426,275468,true,52362,70522,114159,237043,13310.0977121,27547.8577121,Tesla
218,Fire Stn 212 PD,2015,October,10/01/2015,3704.69,81,26996,39825,false,,,,,147.39784875,3852.08784875,Tesla
219,Fire Stn 219,2015,October,10/01/2015,1435.75,35,0,13242,false,,,,,-2.75999769999999,1432.9900023,City
220,Fire Stn 220,2015,October,10/01/2015,1643.14,40,1706,16952,false,,,,,104.4840388,1747.6240388,City
221,PD Fiesta Substn,2015,October,10/01/2015,3100.05,101,34522,41517,false,,,,,1182.34005855,4282.39005855,Tesla
222,RM Multigen,2015,October,10/01/2015,10591,290,32347,102542,false,,,,,594.680247300001,11185.6802473,Tesla
223,RM PD,2015,October,10/01/2015,3909.12,79,23547,43040,false,,,,,113.119046,4022.239046,Tesla
224,Solfocus,2015,October,10/01/2015,2294.83,267,5784,23222,false,,,,,1517.6090093,3812.4390093,City
225,EMSC and RM Library,2015,November,11/01/2015,15012.31,441,33643,201687,true,25371,29044,114031,168446,-45.4639790500005,14966.84602095,Tesla
226,Fire Stn 212 PD,2015,November,11/01/2015,2752.24,69,20405,31780,false,,,,,-155.1383145,2597.1016855,Tesla
227,Fire Stn 219,2015,November,11/01/2015,807.33,29,0,8244,false,,,,,-8.01110820000019,799.3188918,City
228,Fire Stn 220,2015,November,11/01/2015,790.52,23,1577,10259,false,,,,,76.5889215500001,867.10892155,City
229,PD Fiesta Substn,2015,November,11/01/2015,2227.72,80,31446,32957,false,,,,,569.06165115,2796.78165115,Tesla
230,RM Multigen,2015,November,11/01/2015,6258.34,189,27282,44500,false,,,,,-1841.413753,4416.926247,Tesla
231,RM PD,2015,November,11/01/2015,2803.71,73,17975,33556,false,,,,,-61.3173693000003,2742.3926307,Tesla
